Domain,Type,Sponsoring Organisation,Date
.institute,generic,"Outer Maple, LLC",2023-02-24
.insure,generic,"Pioneer Willow, LLC",2023-02-24
.international,generic,"Wild Way, LLC",2023-02-24
.investments,generic,"Holly Glen, LLC",2023-02-24
.irish,generic,Dot-Irish LLC,2023-02-24
.iwc,generic,Richemont DNS Inc.,2023-02-24
.java,generic,Oracle Corporation,2023-02-24
.jcb,generic,"JCB Co., Ltd.",2023-02-24
.jetzt,generic,New TLD Company AB,2023-02-24
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,2023-02-24
.juegos,generic,"Uniregistry, Corp.",2023-02-24
.kaufen,generic,United TLD Holdco Ltd.,2023-02-24
.kddi,generic,KDDI CORPORATION,2023-02-24
.kim,generic,Afilias Limited,2023-02-24
.kitchen,generic,"Just Goodbye, LLC",2023-02-24
.kiwi,generic,DOT KIWI LIMITED,2023-02-24
.koeln,generic,NetCologne Gesellschaft für Telekommunikation mbH,2023-02-24
.komatsu,generic,Komatsu Ltd.,2023-02-24
.krd,generic,KRG Department of Information Technology,2023-02-24
.kred,generic,KredTLD Pty Ltd,2023-02-24
.kyoto,generic,Academic Institution: Kyoto Jyoho Gakuen,2023-02-24
.lacaixa,generic,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA,2023-02-24
.land,generic,"Pine Moon, LLC",2023-02-24
.lat,generic,ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico,2023-02-24
.latrobe,generic,La Trobe University,2023-02-24
.lawyer,generic,"United TLD Holdco, Ltd",2023-02-24
.lds,generic,"IRI Domain Management, LLC",2023-02-24
.lease,generic,"Victor Trail, LLC",2023-02-24
.leclerc,generic,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc,2023-02-24
.legal,generic,"Blue Falls, LLC",2023-02-24
.lgbt,generic,Afilias Limited,2023-02-24
.lidl,generic,Schwarz Domains und Services GmbH & Co. KG,2023-02-24
.life,generic,"Trixy Oaks, LLC",2023-02-24
.lighting,generic,"John McCook, LLC",2023-02-24
.limited,generic,"Big Fest, LLC",2023-02-24
.limo,generic,"Hidden Frostbite, LLC",2023-02-24
.link,generic,"Uniregistry, Corp.",2023-02-24
.loan,generic,dot Loan Limited,2023-02-24
.loans,generic,"June Woods, LLC",2023-02-24
.london,generic,Dot London Domains Limited,2023-02-24
.lotte,generic,"Lotte Holdings Co., Ltd.",2023-02-24
.lotto,generic,Afilias Limited,2023-02-24
.love,generic,Merchant Law Group LLP,2023-02-24
.ltda,generic,InterNetX Corp.,2023-02-24
.luxe,generic,Top Level Domain Holdings Limited,2023-02-24
.luxury,generic,Luxury Partners LLC,2023-02-24
.madrid,generic,Comunidad de Madrid,2023-02-24
.maif,generic,Mutuelle Assurance Instituteur France (MAIF),2023-02-24
.maison,generic,"Victor Frostbite, LLC",2023-02-24
.management,generic,"John Goodbye, LLC",2023-02-24
.mango,generic,PUNTO FA S.L.,2023-02-24
.market,generic,"Unitied TLD Holdco, Ltd",2023-02-24
.marketing,generic,"Fern Pass, LLC",2023-02-24
.markets,generic,DOTMARKETS REGISTRY LTD,2023-02-24
.marriott,generic,Marriott Worldwide Corporation,2023-02-24
.media,generic,"Grand Glen, LLC",2023-02-24
.meet,generic,Afilias Limited,2023-02-24
.melbourne,generic,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",2023-02-24
.meme,generic,Charleston Road Registry Inc.,2023-02-24
.memorial,generic,"Dog Beach, LLC",2023-02-24
.menu,generic,"Wedding TLD2, LLC",2023-02-24
.miami,generic,Top Level Domain Holdings Limited,2023-02-24
.mini,generic,Bayerische Motoren Werke Aktiengesellschaft,2023-02-24
.mma,generic,MMA IARD,2023-02-24
.moda,generic,United TLD Holdco Ltd.,2023-02-24
.moe,generic,"Interlink Co., Ltd.",2023-02-24
.monash,generic,Monash University,2023-02-24
.money,generic,"Outer McCook, LLC",2023-02-24
